iter	Logloss
0	0.5883970116
1	0.5166812533
2	0.4440851667
3	0.3913589483
4	0.3386259923
5	0.2874153824
6	0.2561667859
7	0.2280437522
8	0.198911465
9	0.1754418342
10	0.1583988358
11	0.1447489971
12	0.1312855773
13	0.1187092679
14	0.1066852459
15	0.09579178723
16	0.08859763166
17	0.08120664566
18	0.07454470177
19	0.06827238326
20	0.06353154998
21	0.05919861808
22	0.05487470626
23	0.05137437526
24	0.04873339191
25	0.04556009937
26	0.04272225774
27	0.0410428521
28	0.03922119845
29	0.03688553202
30	0.03511803884
31	0.0334090438
32	0.03198074264
33	0.03041432332
34	0.0290627134
35	0.02755033104
36	0.02640964989
37	0.02537464056
38	0.0237498705
39	0.02311407715
40	0.02232837061
41	0.02170016246
42	0.02044550669
43	0.01994470574
44	0.01892782722
45	0.01849268933
46	0.01748373635
47	0.0170883427
48	0.0168336761
49	0.01654529028
50	0.01587796784
51	0.01519625001
52	0.01489177069
53	0.01470343718
54	0.01444818049
55	0.01416987077
56	0.01395895533
57	0.01342524696
58	0.0132585871
59	0.01306111608
60	0.0127286037
61	0.01231009945
62	0.01200657541
63	0.01181089361
64	0.01163384318
65	0.01152112483
66	0.01135719312
67	0.01113751968
68	0.01082099117
69	0.01054150717
70	0.01031178671
71	0.01007842078
72	0.009912673059
73	0.009670027393
74	0.009582721106
75	0.00947931575
